,prune_iter,pct_params,pct_pruned,val_loss,val_acc,total_params
0,0,100.0,0.0,1.6610849499702454,0.5688,1825600
1,1,92.26808345905883,7.7319165409411745,1.6737372398376464,0.5743,1684443
2,2,85.13399225207846,14.86600774792155,1.670693153142929,0.5734,1554199
3,3,78.55150302317642,21.448496976823584,1.664054536819458,0.5702,1434025
4,4,72.47796636776954,27.522033632230468,1.6673806965351106,0.5656,1323144
5,5,66.87403049764218,33.12596950235782,1.6693489670753479,0.5628,1220836
6,6,61.70338627200094,38.29661372799906,1.714879149198532,0.5505,1126438
7,7,56.932531942515276,43.067468057484724,1.7186721205711364,0.548,1039339
8,8,52.53055608807531,47.46944391192469,1.7413099527359008,0.5328,958974
9,9,48.46893733285304,51.53106266714696,1.7709490597248077,0.5254,884825
10,10,44.72135954999577,55.27864045000423,1.8382569015026093,0.5105,816409
11,11,41.263541353615864,58.736458646384136,1.896347963809967,0.4934,753280
12,12,38.07307877431754,61.92692122568246,1.9340468883514403,0.4846,695035
13,13,35.12930009892051,64.87069990107949,2.002404671907425,0.4668,641292
14,14,32.413131933855226,67.58686806614477,2.080760210752487,0.4432,591705
15,15,29.906975624424376,70.09302437557562,2.1615421891212465,0.4315,545952
16,16,27.59459322922426,72.40540677077574,2.3609102249145506,0.3832,503736
17,17,25.461002310928436,74.53899768907156,2.4212069869041444,0.3739,464785
18,18,23.492378861760344,76.50762113823966,2.565755820274353,0.3392,428845
19,19,21.675967734687333,78.32403226531267,2.6761958241462707,0.3095,395684
20,20,19.99999999999997,80.00000000000003,2.545504629611969,0.3369,365086
